"","Shannon"
"BC1-10",2.26172645096617
"BC1-6",1.87082100912119
"BC1-8",2.17077410700839
"BC2-10",2.31239997714668
"BC2-6",1.92430753363549
"BC2-8",2.36066529248232
"BC3-10",2.40286860753919
"BC3-6",1.96968826971763
"BC3-8",2.11331219591563
"BC4-10",2.36264633019823
"BC4-6",1.94671525123707
"BC4-8",2.29082790616259
"BC5-10",2.30300417394342
"BC5-6",1.92687718095288
"BC5-8",2.33714461758487
"PC1-10",2.52647919335388
"PC1-6",2.32383929045413
"PC1-8",2.3525421872333
"PC2-10",2.41996178697236
"PC2-6",2.32237820162589
"PC2-8",2.29230655917827
"PC3-10",2.47435213986684
"PC3-6",2.37828029690289
"PC3-8",2.36388814021847
"PC4-10",2.43455741198706
"PC4-6",2.53725440304243
"PC4-8",2.36275503224848
"PC5-10",2.55555065625136
"PC5-6",2.237022653498
"PC5-8",2.38249472819602
"SC1-10",2.35057919724579
"SC1-6",2.10727777522489
"SC1-8",2.19907462490664
"SC2-10",2.33799488012069
"SC2-6",2.02401944536351
"SC2-8",2.24575975182575
"SC3-10",2.30148404456464
"SC3-6",2.09777169119231
"SC3-8",2.23616478225024
"SC4-10",2.38136827829633
"SC4-6",1.98487192249544
"SC4-8",2.23645798000318
"SC5-10",2.34837972307676
"SC5-6",2.1649420534075
"SC5-8",2.21859616652401
